user_id,cf_tau2_mean,n,rank
174520,2667.2945423194114,3,73
984567,2646.7370249041664,5,74
373227,2630.097236664144,3,75
833375,2601.7149883915426,4,76
387171,2589.066751076411,7,77
861394,2573.075027107992,4,78
322226,2551.9823256318787,2,79
252375,2540.008298504023,2,80
313961,2491.206533940442,3,81
296662,2480.576322105025,2,82
676633,2458.5613035250476,4,83
552301,2452.1280922088413,3,84
335007,2404.7911893250243,2,85
130497,2389.3956494129716,7,86
554624,2338.7447126967586,2,87
198835,2325.8509503848086,2,88
530006,2298.524543865886,4,89
640487,2291.8219850548726,4,90
777603,2273.6269232156096,6,91
735679,2244.8641073656454,2,92
900900,2241.9518156069726,4,93
904257,2227.599984549631,2,94
649783,2225.143735678941,2,95
840477,2204.839233438826,6,96
115258,2199.312171553772,2,97
730089,2192.6384327255555,3,98
157004,2163.034855136907,2,99
591810,2152.730882813566,6,100
155932,2142.7336099421445,4,101
953193,2089.325542439872,4,102
5001,2085.352192838742,2,103
88664,2061.88870896218,3,104
945057,2050.750036127645,2,105
626542,2050.750036127645,2,106
821759,2050.750036127645,2,107
659204,2050.750036127645,2,108
56000,2050.750036127645,2,109
367413,2050.750036127645,2,110
167678,2050.750036127645,2,111
615046,2050.750036127645,2,112
234944,2050.750036127645,2,113
219966,2034.0245855672772,6,114
501172,2015.5688155518587,4,115
108416,1989.5215929661322,2,116
298855,1989.5215929661322,2,117
962486,1975.3005023770866,2,118
161742,1960.5095567552805,3,119
762495,1947.286303924763,2,120
73428,1938.5974493415222,4,121
267613,1929.9724145393664,2,122
717088,1902.8524106477767,2,123
257023,1893.8353794913019,2,124
57291,1852.7975904503437,5,125
428912,1848.417519067321,2,126
265284,1834.2640345911304,2,127
548686,1833.9730926284085,3,128
379032,1832.7997346396994,3,129
343014,1832.7986793442126,2,130
608075,1822.330406678121,6,131
98995,1804.6855790724044,5,132
829889,1799.2651467791502,3,133
165353,1794.810608645418,3,134
308155,1758.1145295222243,2,135
702196,1723.5174389562694,5,136
223452,1719.6836954916898,2,137
376711,1687.9582209080884,2,138
22302,1683.0715389552631,2,139
508145,1661.4006135187324,2,140
138626,1613.3520240921366,2,141
491874,1612.2529773351678,5,142
432614,1612.2518867477468,2,143
466186,1596.5089094609634,2,144
904386,1594.6843171161945,6,145
427840,1584.7460748355031,5,146
208347,1580.0085172717017,2,147
613669,1563.191251977723,2,148
270971,1548.4438333160792,5,149
376836,1523.8272914106326,3,150
982113,1516.0977653173115,2,151
51353,1499.6122325254407,4,152
993858,1496.82188214374,2,153
728795,1480.4374133530457,2,154
667213,1480.4374133530457,2,155
957712,1463.0843010193346,7,156
188466,1458.027201100852,2,157
41023,1455.2461474931454,3,158
251126,1454.238556184508,2,159
459211,1423.870773902519,4,160
333628,1413.410418937915,2,161
125717,1407.8233767438833,2,162
453400,1404.7137564484099,3,163
869309,1398.6352459641896,2,164
844999,1397.3061636258212,2,165
416216,1394.6731997561274,3,166
406923,1391.9751463847933,3,167
624346,1378.5304945905912,4,168
891606,1378.5268580776017,2,169
915789,1367.2967463921216,2,170
107256,1367.1874487955329,3,171
169785,1367.1713432305387,3,172
102480,1365.682285237992,2,173
75879,1361.4488521928458,3,174
472123,1355.9557141488076,3,175
138629,1355.8060250563499,3,176
617375,1327.8688587744875,3,177
513826,1326.4469448392708,3,178
553461,1326.3478068382276,3,179
537065,1311.251105428079,4,180
107255,1302.2484831182428,2,181
366250,1300.0449666890981,7,182
567277,1298.6520665338376,4,183
356955,1286.6674461002294,3,184
529058,1279.3153443278634,3,185
513956,1259.254918984237,2,186
640396,1259.150637860051,3,187
724150,1255.5592776736657,3,188
1000833,1248.4332598794315,3,189
430288,1247.383233913863,3,190
262965,1245.1585704100148,2,191
233912,1233.6156151455687,5,192
104932,1227.8392447341253,4,193
770540,1224.5522199494596,5,194
616209,1221.5004265062084,6,195
346496,1219.242865807743,2,196
207189,1216.6963314702625,7,197
198926,1209.4938857191908,3,198
584710,1207.9833652043508,2,199
614918,1202.0422242360078,6,200
339438,1198.1151943580737,2,201
676636,1196.2272030201427,7,202
283753,1191.5432143300952,2,203
203701,1171.3466225975633,5,204
16621,1171.1855215963915,2,205
387079,1165.7886606466097,5,206
308152,1164.1355485352242,6,207
311638,1162.4292296630051,8,208
114228,1162.422309817487,2,209
368487,1162.3900175187837,4,210
