user_id,mmd2,n_W1,n_W2
459211,0.42099009193481096,32,41
701037,0.4209420110878893,31,41
434809,0.41800705692896367,24,70
295371,0.4156571957355283,38,33
292010,0.41450647846746413,26,58
790510,0.41270163881826216,38,28
604592,0.41151727414934713,53,24
395429,0.40951838747474356,35,49
124682,0.409048470615779,38,41
770540,0.4068596344019738,27,40
638286,0.4021198035367779,12,59
87498,0.4008183690980026,35,39
6163,0.39787517321366694,35,30
752165,0.3933368019836345,37,41
695101,0.39247305620964035,21,49
225781,0.3915550750279674,40,29
500956,0.3896091252572087,5,77
302468,0.389324611474575,13,57
59613,0.3879901411177704,7,62
556819,0.3873971281560885,26,45
132693,0.3836571064082235,31,50
511501,0.38276112582808475,4,83
555569,0.38200707227046493,23,44
845126,0.3812122485087215,7,76
176974,0.38120377803718786,27,39
546491,0.380816077619318,47,34
722988,0.3798576260758283,40,26
251126,0.37956101546021426,12,57
726474,0.37885700415764245,10,61
668374,0.3775815089765906,2,68
909032,0.37686828529931593,33,43
710204,0.3765054496157242,34,49
205898,0.3751924209300481,13,57
36375,0.3751368557759107,25,44
681153,0.3750395192855762,4,69
425641,0.37493281173677717,23,58
114009,0.3736488686567808,47,30
810262,0.37361303092558584,17,53
468638,0.37338174636277077,38,30
438295,0.3733182293961518,32,39
87375,0.3727372243195376,25,41
327908,0.37174269165349716,26,40
713601,0.3716590910258928,9,57
688257,0.37140722398175385,30,37
308279,0.3708527815613063,23,47
729956,0.36496415146837524,13,57
174520,0.3627072493627719,24,47
460375,0.36113302588403484,23,45
893800,0.3566080472504811,33,49
161742,0.3559466545663512,7,74
564956,0.3554813790102467,37,32
498719,0.3536197753327782,27,43
121196,0.35321272562152284,36,36
123397,0.35192943586462877,17,54
653267,0.35084018715753085,28,53
287367,0.35072108085998654,30,36
717176,0.3470481427178054,29,38
870687,0.34392491288640326,18,62
615994,0.34155059055453973,17,69
37407,0.33803883491812137,32,52
636909,0.3376166592325994,31,36
95636,0.3365349892174436,20,55
81561,0.3361037098395352,28,43
738218,0.33522520169826053,29,37
943764,0.3330073290536204,17,52
233912,0.3327767150230876,16,56
95506,0.3315683540353027,17,55
443071,0.33035844237549306,27,40
781214,0.3292860064796346,21,56
531382,0.3241877732110713,41,34
437132,0.3229554893855311,9,74
272041,0.31921500997802754,16,59
526736,0.3174913937627126,23,47
441694,0.31745393456271254,4,72
343011,0.3168868328584442,28,42
846289,0.31443225643962003,35,32
218808,0.31441861441704355,16,53
75663,0.31341808977488017,26,46
790384,0.3066891186201963,5,61
838027,0.3060548924083044,15,51
742866,0.3035986019124255,17,61
275618,0.3007175678081959,17,56
643972,0.30032850534462585,19,57
778764,0.3001060916446108,20,49
166389,0.2991081411034331,17,51
224487,0.29703508119237165,5,62
236238,0.29547936486954796,12,61
141989,0.29303498679519224,6,64
484779,0.2893665091464994,3,65
188467,0.28726966365790996,27,42
197760,0.2861156724763372,9,59
957712,0.2789068079804444,24,58
857904,0.2777586080180918,36,38
541715,0.27694228591059433,22,52
355794,0.27638186689972266,7,70
711368,0.2759416103698671,21,46
65296,0.2717136709661089,35,35
361605,0.27035432055140396,34,36
994892,0.2703066800097804,19,48
250054,0.2617859943823426,17,60
87503,0.25667627947454297,6,66
810134,0.2540535432676514,23,46
