feature,f_score,rank,selected,vimp_cov,delta,abs_delta,sign,mean_early,mean_late,score_blend,blend_rank
masterpiece,3.07564380516745,78,0,0.008081865653463697,0.008085006396295454,0.008085006396295454,1,0.008043040548811112,0.016128046945106566,0.8466413181242078,15
by greg,3.9601175484180198,57,0,0.006701424461704986,0.0050210099985112154,0.0050210099985112154,1,0.005822690993894211,0.010843700992405426,0.8250950570342205,16
intricate,2.4210211549551413,84,0,0.010292994799315723,0.005401081057118617,0.005401081057118617,1,0.02124858853376661,0.026649669590885227,0.8250950570342205,17
alphonse,15.596877218129485,9,1,0.005475156316262132,0.0034181635025510373,0.0034181635025510373,1,0.008573556378383562,0.0119917198809346,0.8162230671736376,18
alphonse mucha,15.596877218129485,8,1,0.005411292731356285,0.0034181635025510373,0.0034181635025510373,1,0.008573556378383562,0.0119917198809346,0.8136882129277567,19
by,0.7508797371658693,146,0,0.025559591788202145,0.01313859378665913,0.01313859378665913,1,0.06610547301864922,0.07924406680530835,0.806083650190114,20
mucha,8.269833607359685,35,0,0.007155894356127168,0.0035070828584467736,0.0035070828584467736,1,0.010023936300408256,0.01353101915885503,0.8048162230671737,21
digital,15.446388580655562,10,1,0.005080387412812767,-0.0033469644386464534,0.0033469644386464534,-1,0.028330167291457254,0.0249832028528108,0.7997465145754119,22
cinematic,1.1866332201104572,129,0,0.014835184579004087,-0.007815532909717055,0.007815532909717055,-1,0.02745640885583107,0.019640875946114016,0.7972116603295311,23
art by,1.9497188141046422,104,0,0.006207263921530254,0.006159014613879223,0.006159014613879223,1,0.016682398238096766,0.022841412851975988,0.7870722433460076,24
face,3.261416475208,73,0,0.0038569511223748563,0.005778807706883717,0.005778807706883717,1,0.013442831405859055,0.019221639112742772,0.7845373891001267,25
in the,3.227253353294907,74,0,0.004056448667076943,-0.005463853942410456,0.005463853942410456,-1,0.03374539457223462,0.028281540629824162,0.779467680608365,26
in,2.9909847996454255,81,0,0.008511523864084294,-0.003935530236236939,0.003935530236236939,-1,0.07165629102485656,0.06772076078861962,0.7769328263624842,27
portrait of,1.1484576613331139,132,0,0.007191436539705868,0.007571566542534894,0.007571566542534894,1,0.020416249409715034,0.027987815952249927,0.7718631178707224,28
detailed,2.206672942701194,94,0,0.0080947371959395,0.004510537178040709,0.004510537178040709,1,0.04470662164965952,0.04921715882770023,0.7705956907477821,29
8k,0.3607273987578284,181,0,0.10497941744830867,-0.025496124994524524,0.025496124994524524,-1,0.025496124994524524,0.0,0.7693282636248416,30
volumetric lighting,2.3961966930253764,85,0,0.003681991563952244,0.005824196189392232,0.005824196189392232,1,0.003996905362225652,0.009821101551617884,0.7680608365019012,31
as,0.5538362657463719,161,0,0.009556438499034647,-0.012234864103333899,0.012234864103333899,-1,0.02632527460357646,0.01409041050024256,0.7667934093789608,32
painting of,3.695106714973236,63,0,0.003660934314846147,-0.004630462509841537,0.004630462509841537,-1,0.01771562900513347,0.013085166495291933,0.7553865652724968,33
of beautiful,3.4674485076384896,68,0,0.0036963209710559755,0.0046429214045512765,0.0046429214045512765,1,0.003943643752703855,0.008586565157255132,0.752851711026616,34
armor,5.148101681589944,50,0,0.002542774125971971,-0.004810449617355331,0.004810449617355331,-1,0.007578318508915677,0.0027678688915603457,0.7452471482889734,35
close,1.8355742510253004,108,0,0.00498079816321339,0.00536275345584247,0.00536275345584247,1,0.004898644123199157,0.010261397579041627,0.7452471482889734,36
sharp focus,11.151572591166609,22,0,0.003158285418982362,0.0032603177050189273,0.0032603177050189273,1,0.014815391482506001,0.01807570918752493,0.7376425855513308,37
trending on,3.955162505685088,58,0,0.004214332552399153,-0.0035136993220038285,0.0035136993220038285,-1,0.025285384826293375,0.021771685504289547,0.7325728770595692,38
beautiful,2.6962769636610533,83,0,0.003160974046704022,0.004889201995263295,0.004889201995263295,1,0.02573974088606347,0.030628942881326764,0.7287705956907478,39
of,0.2954531937577315,192,0,0.01584902992608782,-0.009289010955770408,0.009289010955770408,-1,0.09038498766767565,0.08109597671190524,0.7287705956907478,40
game,2.1298433337455256,97,0,0.004322272794993769,0.0047563772598275735,0.0047563772598275735,1,0.005066442006754358,0.009822819266581932,0.7262357414448669,41
artgerm,17.8566575467135,4,1,0.004897089655698014,0.0019119927534231584,0.0019119927534231584,1,0.01388890569256672,0.015800898445989878,0.7224334600760457,42
composition,0.45445671312082553,169,0,0.006979362207403706,0.006285102073545967,0.006285102073545967,1,0.00423519029880612,0.010520292372352087,0.7173637515842839,43
canvas,2.07848683455137,99,0,0.002724811139324402,0.005711754261944221,0.005711754261944221,1,0.0032050781632522313,0.008916832425196452,0.7173637515842839,44
cute,4.001675313947022,56,0,0.002000290407682267,0.004964385456905219,0.004964385456905219,1,0.0074056448428851335,0.012370030299790353,0.714828897338403,45
artstation,4.395384037709954,54,0,0.004919030049847343,0.0029182786423209567,0.0029182786423209567,1,0.03481662080482342,0.03773489944714438,0.7135614702154628,46
smooth sharp,3.3084608406040257,72,0,0.004639659890767011,-0.0033534374892535404,0.0033534374892535404,-1,0.00923645146658585,0.005883013977332309,0.7135614702154626,47
render,0.1886243745804628,209,0,0.01623818340912898,0.010064305430619671,0.010064305430619671,1,0.017757340051454486,0.027821645482074157,0.7135614702154626,48
digital painting,10.326689605535949,27,0,0.00280159237520385,0.0031943778074787817,0.0031943778074787817,1,0.01183903271059188,0.015033410518070662,0.7110266159695818,49
makoto,0.592357432945177,157,0,0.006408639405214073,0.00545896292319679,0.00545896292319679,1,0.004287342422700472,0.009746305345897262,0.7097591888466414,50
photo,0.5186396311121867,166,0,0.005816559534737494,0.006262969511769672,0.006262969511769672,1,0.02038535052392971,0.02664832003569938,0.7084917617237009,51
lighting,3.0916143029491,77,0,0.004447078090313511,0.00340325630924225,0.00340325630924225,1,0.0246586010267285,0.02806185733597075,0.70595690747782,52
on artstation,5.272913935910957,48,0,0.0030520126933306175,-0.003311905011959545,0.003311905011959545,-1,0.023754594516396513,0.020442689504436968,0.7034220532319392,53
makoto shinkai,0.592357432945177,156,0,0.005442158526169109,0.00545896292319679,0.00545896292319679,1,0.004287342422700472,0.009746305345897262,0.7008871989860582,54
japanese,9.566026622161338,31,0,0.002252027133359242,0.003262616964659799,0.003262616964659799,1,0.00371463812600342,0.006977255090663219,0.6869455006337134,55
illustration art,7.409813239730318,37,0,0.0034866403306509607,-0.0024877236817742554,0.0024877236817742554,-1,0.0063235473525930395,0.003835823670818784,0.6856780735107731,56
highly detailed,12.300249019668785,16,1,0.006550640906547946,-0.0011352152390393944,0.0011352152390393944,-1,0.0276127569002924,0.026477541661253004,0.6831432192648923,57
illustration,7.817056853669533,36,0,0.003063232708742172,0.002629170823217706,0.002629170823217706,1,0.019264645043625597,0.021893815866843302,0.6831432192648923,58
environment,0.3394836892858528,184,0,0.008521591590365935,0.005086884684445504,0.005086884684445504,1,0.0023175952146707503,0.007404479899116254,0.6806083650190113,59
shinkai,0.592357432945177,158,0,0.004266553081887401,0.00545896292319679,0.00545896292319679,1,0.004287342422700472,0.009746305345897262,0.6755386565272498,60
4k,0.0021131843683153463,256,0,0.06578630380011044,-0.021796466817508547,0.021796466817508547,-1,0.021796466817508547,0.0,0.670468948035488,61
landscape,1.4918355306376596,119,0,0.0034369120848016924,0.004142659078832499,0.004142659078832499,1,0.004714349121490946,0.008857008200323445,0.670468948035488,62
style of,2.2850602054656335,90,0,0.005012711748431613,-0.0028415088181125807,0.0028415088181125807,-1,0.018174882706504473,0.015333373888391892,0.6692015209125475,63
