feature,vimp_cov,rank
wlop and,4.262999237065283e-05,383
and lois,2.9100885124093217e-05,384
deviantart,2.497917655458375e-05,385
on canvas,2.4930983501999886e-05,386
magali villeneuve,2.391320772057316e-05,387
wide,2.2421487895270328e-05,388
human,1.9027224292389843e-05,389
cgsociety,1.693650029596775e-05,390
inside,1.3478764186956928e-05,391
steampunk,4.706197417424024e-06,392
fine,4.219739941778097e-06,393
robot,1.3092250120195364e-06,394
moody,5.285653135942209e-07,395
jean,1.588141757191935e-07,396
in style,0.0,397
detailed face,0.0,398
david,0.0,399
desert,0.0,400
model,0.0,401
metal,0.0,402
medium,0.0,403
medieval,0.0,404
matte painting,0.0,405
illustration of,0.0,406
inspired by,0.0,407
into,0.0,408
dan,0.0,409
eye,0.0,410
dan mumford,0.0,411
cyborg,0.0,412
horror,0.0,413
hopper,0.0,414
craig mullins,0.0,415
craig,0.0,416
at night,0.0,417
art trending,0.0,418
walking,0.0,419
bokeh,0.0,420
baroque,0.0,421
bagshaw,0.0,422
blonde,0.0,423
symmetry,0.0,424
texture,0.0,425
anthropomorphic,0.0,426
architecture,0.0,427
wallpaper,0.0,428
vintage,0.0,429
very very,0.0,430
and wlop,0.0,431
around,0.0,432
tom,0.0,433
that,0.0,434
japanese,0.0,435
through,0.0,436
landscape,0.0,437
magical,0.0,438
low,0.0,439
made of,0.0,440
moon,0.0,441
movie still,0.0,442
modern,0.0,443
monster,0.0,444
cosmic,0.0,445
natural,0.0,446
life,0.0,447
lightning,0.0,448
neon,0.0,449
clean,0.0,450
book,0.0,451
cat,0.0,452
people,0.0,453
photograph of,0.0,454
pastel,0.0,455
bowater,0.0,456
pixar,0.0,457
picture,0.0,458
playing,0.0,459
post,0.0,460
princess,0.0,461
professional,0.0,462
profile,0.0,463
dressed,0.0,464
norman,0.0,465
over,0.0,466
out,0.0,467
out of,0.0,468
one,0.0,469
no,0.0,470
new,0.0,471
nouveau,0.0,472
high contrast,0.0,473
girl with,0.0,474
gold,0.0,475
gorgeous,0.0,476
down,0.0,477
goddess,0.0,478
dress,0.0,479
purple,0.0,480
for,0.0,481
fog,0.0,482
flying,0.0,483
flowers,0.0,484
fire,0.0,485
floating,0.0,486
fashion,0.0,487
yellow,0.0,488
real,0.0,489
rockwell,0.0,490
ross tran,0.0,491
woman with,0.0,492
giant,0.0,493
short,0.0,494
gaston,0.0,495
game,0.0,496
smoke,0.0,497
smiling,0.0,498
small,0.0,499
skin,0.0,500
shot of,0.0,501
sitting,0.0,502
sun,0.0,503
stars,0.0,504
sunset,0.0,505
top,0.0,506
tran,0.0,507
aesthetic,0.0,508
tree,0.0,509
trees,0.0,510
two,0.0,511
abstract,0.0,512
