feature,f_score,rank,selected
character design,2.4958468248477312,186,0
made of,2.4647938661584616,187,0
matte painting,2.4368614514742584,188,0
features,2.4346914059237834,189,0
epic,2.422575663248909,190,0
desert,2.3117854298651395,191,0
lighting,2.286239650484884,192,0
no,2.2735264852637562,193,0
extreme,2.270247779859617,194,0
tom,2.266137521770104,195,0
high quality,2.2650567564453787,196,0
film still,2.238228613857751,197,0
makoto shinkai,2.220608210430999,198,0
queen,2.184350500767265,199,0
painting trending,2.1736952488570447,200,0
studio ghibli,2.173390893280732,201,0
hyperdetailed,2.1352291261730265,202,0
sun,2.133360057615754,203,0
post,2.1060947278068753,204,0
realism,2.0891403484970104,205,0
volumetric,2.0194578803372214,206,0
photography,2.0145889396165764,207,0
mm,1.9973803264114054,208,0
huge,1.9801658615137225,209,0
villeneuve,1.9785410504996075,210,0
kuvshinov rossdraws,1.9395863268502298,211,0
down,1.9366803082571389,212,0
ghibli,1.9287501950879726,213,0
fog,1.9223610889831035,214,0
clouds,1.9005288596223222,215,0
disney,1.8882273171761672,216,0
digital art,1.8759775150506188,217,0
makoto,1.8592731714254942,218,0
shinkai,1.8592731714253623,219,0
as,1.8503612871128616,220,0
people,1.804575350390812,221,0
blue,1.722418608631238,222,0
holding,1.706300812511039,223,0
is,1.6906989338524154,224,0
futuristic,1.6749666280463509,225,0
abstract,1.6707603189498927,226,0
shadows,1.6371501326865974,227,0
one,1.6228003623105713,228,0
ray,1.6013136449945515,229,0
old,1.6003786582351676,230,0
watercolor,1.5793448100757899,231,0
at night,1.579213821385685,232,0
for,1.5778923589262108,233,0
psychedelic,1.5481805303760565,234,0
colorful,1.5397955779274801,235,0
rendered,1.52220252393097,236,0
camera,1.510610539125265,237,0
forest,1.4686508796580051,238,0
film,1.446754217526058,239,0
to,1.3690539463728832,240,0
background,1.3536368602366935,241,0
lightning,1.3467634033725366,242,0
michael,1.3289037952065643,243,0
very,1.322575441147053,244,0
close up,1.279633213108514,245,0
animation,1.261438669475626,246,0
over,1.2507442712096462,247,0
beksinski,1.237542116159117,248,0
featured,1.2244569396830214,249,0
stanley,1.2190080752595391,250,0
standing,1.214213618799591,251,0
behance,1.1838110299792304,252,0
detail,1.1630691684096146,253,0
soft,1.1579820900565552,254,0
human,1.1472052066947516,255,0
wallpaper,1.1407454584653374,256,0
clear,1.1148864777800611,257,0
his,1.1015456445316296,258,0
craig,1.092495677316049,259,0
illustration of,1.0793354800979862,260,0
on,1.070898993647365,261,0
perfect,1.0403781234128218,262,0
at,1.034169126665122,263,0
photograph,1.033923434447067,264,0
dark,1.0309504971886523,265,0
studio lighting,0.963681733679956,266,0
around,0.9594856264839438,267,0
book,0.9464394730638012,268,0
ray tracing,0.9439521102225056,269,0
up,0.9405888115059402,270,0
ross,0.9313817707367588,271,0
design,0.9029996534160059,272,0
pink,0.8965730150355817,273,0
artwork by,0.8784442903943986,274,0
street,0.8384932839424729,275,0
world,0.8199245538142641,276,0
hdr,0.8137896128670244,277,0
cosmic,0.8060362086514683,278,0
that,0.8038216093265311,279,0
steampunk,0.7991383785341558,280,0
photo of,0.7842556884290262,281,0
close,0.7816372315486795,282,0
style,0.7800758752461705,283,0
john,0.7758893948180107,284,0
oil,0.7724803173040777,285,0
warm,0.7706769132030379,286,0
extremely,0.7692719138383644,287,0
looking,0.7615027555891344,288,0
walking,0.7585068659613748,289,0
suit,0.7501812899506203,290,0
wide angle,0.7464856158147603,291,0
dressed,0.7349082969318131,292,0
new,0.7337703135222193,293,0
portrait painting,0.7224837124713963,294,0
magic,0.7183054772837486,295,0
scifi,0.6991298104964865,296,0
very detailed,0.6911735807282248,297,0
composition,0.6823815693051152,298,0
dramatic,0.6816441067604947,299,0
octane,0.6786087039565406,300,0
mask,0.6769927160708448,301,0
head,0.6637933852615889,302,0
the style,0.6568055347083475,303,0
pastel,0.651094798402121,304,0
black,0.639751207747484,305,0
painting,0.6315134844755218,306,0
giger,0.6252060079701612,307,0
mullins,0.6199491136591789,308,0
