feature,f_score,rank,selected,vimp_cov,delta,abs_delta,sign,mean_early,mean_late,score_blend,blend_rank
fantasy,17.36217516047444,54,0,0.004660015562903963,0.002963365725928589,0.002963365725928589,1,0.013429309142166066,0.016392674868094655,0.9095052083333334,15
illustration,12.050679069925623,70,0,0.004171992318707652,0.0033938299435528133,0.0033938299435528133,1,0.017104437067971205,0.02049826701152402,0.9049479166666666,16
detailed,4.750474927140783,127,0,0.012425420247969114,0.004139423153730337,0.004139423153730337,1,0.03674103793826083,0.040880461091991165,0.8958333333333334,17
in the,9.416606055915748,97,0,0.005474076956146554,-0.003152896609180316,0.003152896609180316,-1,0.026080461724187574,0.022927565115007258,0.8919270833333334,18
in,9.228563748364042,98,0,0.007134906932881234,-0.002850397779597523,0.002850397779597523,-1,0.05586421072808153,0.05301381294848401,0.8899739583333334,19
studio,3.7099088412554075,152,0,0.013084874362964117,0.0059237180118742565,0.0059237180118742565,1,0.00685971338738672,0.012783431399260976,0.8873697916666666,20
symmetrical,12.689163951825654,67,0,0.002978535869959226,-0.0031807230967755232,0.0031807230967755232,-1,0.007864125716555308,0.0046834026197797845,0.8854166666666666,21
face,31.842727497375762,25,1,0.001961697741325032,0.0029698683584856358,0.0029698683584856358,1,0.014621115058046323,0.01759098341653196,0.880859375,22
woman,50.89735031995415,8,1,0.0015602150687096979,0.0030669181400339793,0.0030669181400339793,1,0.01092968326419238,0.01399660140422636,0.8795572916666666,23
art smooth,17.155699273921478,55,0,0.004391465456287557,-0.002219287923937473,0.002219287923937473,-1,0.00627952787843513,0.004060239954497657,0.8795572916666666,24
elegant highly,29.616530544538886,29,1,0.003342579854570429,-0.0020600018367094852,0.0020600018367094852,-1,0.005250109079923546,0.003190107243214061,0.876953125,25
artgerm,71.66929499061001,4,1,0.0020779302295916274,0.0022487408527503295,0.0022487408527503295,1,0.011893649257035193,0.014142390109785522,0.87109375,26
highly detailed,18.08645263473806,51,0,0.003941756401772174,0.0020596646859994752,0.0020596646859994752,1,0.020626098130979216,0.02268576281697869,0.8678385416666666,27
lighting,2.286239650484884,192,0,0.013096977788171477,0.004619066838199189,0.004619066838199189,1,0.021330734155112746,0.025949800993311935,0.8587239583333334,28
smooth,33.33869342252201,23,1,0.002956705026302695,0.0017921618768358145,0.0017921618768358145,1,0.009376387378711383,0.011168549255547198,0.8561197916666666,29
mm,1.9973803264114054,208,0,0.01903566305906213,0.005674626597724451,0.005674626597724451,1,0.004066013731158607,0.009740640328883058,0.8548177083333334,30
frank,11.95417728497533,73,0,0.002217962027462711,0.0027443106858762523,0.0027443106858762523,1,0.0029644092799146655,0.005708719965790918,0.8541666666666666,31
dragon,4.534193186633299,131,0,0.0029839115857287243,-0.003276958245295913,0.003276958245295913,-1,0.0063517820995674,0.003074823854271487,0.84765625,32
mark,5.977762863168691,117,0,0.0027626200105919764,-0.003174895963237156,0.003174895963237156,-1,0.005478318326827215,0.002303422363590059,0.8470052083333334,33
of,3.1620366728345015,165,0,0.007800778722385113,-0.0026322701647216173,0.0026322701647216173,-1,0.07049977147914223,0.06786750131442061,0.8444010416666666,34
portrait of,12.52497880752673,68,0,0.003352575367453844,0.0019258931954549419,0.0019258931954549419,1,0.0199578830961991,0.021883776291654042,0.8444010416666666,35
beautiful,30.028655417078493,27,1,0.003106338333429469,0.0015310356941009746,0.0015310356941009746,1,0.021918170227241365,0.02344920592134234,0.8365885416666666,36
studio ghibli,2.173390893280732,201,0,0.007156753464955352,0.0032529349423879176,0.0032529349423879176,1,0.0018449360824139248,0.005097871024801842,0.8333333333333334,37
character,21.67324233553134,40,1,0.00190585441512908,0.001782290173748504,0.001782290173748504,1,0.009609861118262715,0.011392151292011219,0.8151041666666666,38
is,1.6906989338524154,224,0,0.004945823788841189,-0.0037874595081582516,0.0037874595081582516,-1,0.011598768841041962,0.007811309332883711,0.8131510416666666,39
magali,5.035683337142848,125,0,0.0022174712422029295,0.0024381461551442147,0.0024381461551442147,1,0.0013615687114562618,0.0037997148666004763,0.8125,40
ghibli,1.9287501950879726,213,0,0.004168270623039899,0.0033093800378954895,0.0033093800378954895,1,0.0025133028750814416,0.005822682912976931,0.8098958333333334,41
close up,1.279633213108514,245,0,0.0060416823554829075,0.004094340263739629,0.004094340263739629,1,0.0036739420836936682,0.007768282347433297,0.8092447916666666,42
volumetric,2.0194578803372214,206,0,0.003693117201069452,0.003016075284786571,0.003016075284786571,1,0.006999077875073159,0.01001515315985973,0.802734375,43
painting artstation,19.52940275676525,46,0,0.0022256100462805083,-0.001533544081033177,0.001533544081033177,-1,0.007757249548355325,0.0062237054673221475,0.802734375,44
view,6.01684917944935,116,0,0.0016501694858078615,0.002546260746804663,0.002546260746804663,1,0.005750725415939311,0.008296986162743974,0.8014322916666666,45
with,2.8071452274108397,175,0,0.004084824931782851,-0.0022510666986340563,0.0022510666986340563,-1,0.036728725883031124,0.03447765918439707,0.798828125,46
body,52.64246323320263,7,1,0.0024167754674374467,0.0011862862759640866,0.0011862862759640866,1,0.008607523101840313,0.0097938093778044,0.7955729166666666,47
close,0.7816372315486795,282,0,0.00812375662981196,0.004686386501946362,0.004686386501946362,1,0.00389898959634174,0.008585376098288102,0.794921875,48
by wlop,8.623114234726687,101,0,0.002786704388517655,0.0016897618751784485,0.0016897618751784485,1,0.0017877749533555306,0.003477536828533979,0.7903645833333334,49
up,0.9405888115059402,270,0,0.00462107052102707,0.004438158513258107,0.004438158513258107,1,0.00595598700504997,0.010394145518308077,0.787109375,50
villeneuve,1.9785410504996075,210,0,0.0030191324021092885,0.0026892260565907393,0.0026892260565907393,1,0.001937768370749048,0.004626994427339787,0.783203125,51
8k,0.4080769219890296,336,0,0.13144995050713604,-0.020455054662993702,0.020455054662993702,-1,0.020455054662993702,0.0,0.7819010416666666,52
by greg,0.5989705184682816,312,0,0.009650290093283925,0.006279612470817574,0.006279612470817574,1,0.005308770878769868,0.011588383349587441,0.78125,53
krenz cushart,16.080295636947874,57,0,0.0023139893855290616,-0.0013693590953501751,0.0013693590953501751,-1,0.0027249707750441475,0.0013556116796939724,0.779296875,54
city,9.595313937153398,93,0,0.0019600012882143346,-0.0017140523758324751,0.0017140523758324751,-1,0.008392675584587258,0.006678623208754782,0.775390625,55
digital,2.553836476837651,183,0,0.002656463703460511,0.002253113288486687,0.002253113288486687,1,0.021115157746056237,0.023368271034542924,0.7740885416666666,56
3d,0.3679536190536355,343,0,0.041945048804003265,-0.0076448832259239,0.0076448832259239,-1,0.0076448832259239,0.0,0.7734375,57
octane,0.6786087039565406,300,0,0.006016141667477442,0.004036681467288873,0.004036681467288873,1,0.01405212361391229,0.018088805081201163,0.7721354166666666,58
