y,batch,user_id,n_list,x_sage_0,x_sage_1,x_sage_2,x_sage_3,x_sage_4,x_sage_5,x_sage_6,x_sage_7,x_sage_8,x_sage_9,x_sage_10,x_sage_11,x_sage_12,x_sage_13,x_sage_14,x_sage_15,x_n_nodes,x_n_edges,x_mean_deg,x_n_cc,x_n_q_seeds,x_seed_frac,x_lcc_frac
0.5,3,4,4,0.375,0.116667,0.55,0.275,0.39375,0.127083,0.549167,0.275,0.39375,0.127083,0.549167,0.275,0.3875,0.121528,0.554861,0.275,1,0.175,0.116667,0.8,0.625,0.375,0.275
1,3,5,4,0.25,0.216667,0.55,0.325,0.25,0.216667,0.55,0.325,0.25,0.216667,0.55,0.325,0.25,0.216667,0.55,0.325,1,0.325,0.216667,0.725,0.416667,0.25,0.325
0.25,3,6,4,0.6,0.433333,0.55,0.525,0.6,0.454167,0.5605,0.525,0.6,0.454167,0.5605,0.525,0.6,0.445926,0.558567,0.525,1,0.65,0.433333,0.525,1,0.6,0.525
0.5,3,7,4,0.475,0.25,0.55,0.4,0.475,0.264167,0.539,0.4,0.475,0.264167,0.539,0.4,0.475,0.258125,0.54475,0.4,1,0.375,0.25,0.625,0.791667,0.475,0.4
0.5,3,8,4,0.525,0.283333,0.55,0.475,0.54375,0.315972,0.552833,0.475,0.54375,0.315972,0.552833,0.475,0.522917,0.305324,0.552444,0.475,1,0.425,0.283333,0.575,0.875,0.525,0.475
0.75,3,9,4,0.575,0.433333,0.55,0.525,0.597024,0.454008,0.541262,0.525,0.597024,0.454008,0.541262,0.525,0.583345,0.44475,0.556763,0.525,1,0.65,0.433333,0.55,0.958333,0.575,0.525
0.75,3,10,4,0.775,0.616667,0.55,0.7,0.7875,0.631528,0.544958,0.7,0.7875,0.631528,0.544958,0.7,0.775,0.624687,0.546837,0.7,1,0.925,0.616667,0.35,1.29167,0.775,0.7
0.75,3,11,4,0.5,0.3,0.55,0.375,0.5,0.319643,0.563571,0.375,0.5,0.319643,0.563571,0.375,0.5,0.314254,0.555587,0.375,1,0.45,0.3,0.65,0.833333,0.5,0.375
0.25,3,12,4,0.425,0.208333,0.55,0.4,0.465,0.23625,0.54975,0.4,0.465,0.23625,0.54975,0.4,0.4555,0.225792,0.550575,0.4,1,0.3125,0.208333,0.625,0.708333,0.425,0.4
0.75,3,13,4,0.4,0.216667,0.55,0.425,0.4125,0.242778,0.528417,0.425,0.4125,0.242778,0.528417,0.425,0.410417,0.228537,0.543869,0.425,1,0.325,0.216667,0.675,0.666667,0.4,0.425
0,3,14,4,0.5,0.1,0.55,0.3,0.5,0.104167,0.55125,0.3,0.5,0.104167,0.55125,0.3,0.5,0.103472,0.551667,0.3,1,0.15,0.1,0.75,0.833333,0.5,0.3
0.5,3,15,4,0.4,0.183333,0.55,0.325,0.4,0.201389,0.5515,0.325,0.4,0.201389,0.5515,0.325,0.4,0.195,0.553533,0.325,1,0.275,0.183333,0.725,0.666667,0.4,0.325
0.5,3,16,4,0.45,0.141667,0.55,0.35,0.465,0.159444,0.559667,0.35,0.465,0.159444,0.559667,0.35,0.4625,0.150556,0.553056,0.35,1,0.2125,0.141667,0.725,0.75,0.45,0.35
0.75,3,17,4,0.425,0.175,0.55,0.4,0.4125,0.188542,0.579167,0.4,0.4125,0.188542,0.579167,0.4,0.425,0.178299,0.552882,0.4,1,0.2625,0.175,0.6,0.708333,0.425,0.4
0.5,3,18,4,0.45,0.2,0.55,0.375,0.466667,0.213889,0.533333,0.375,0.466667,0.213889,0.533333,0.375,0.448611,0.203009,0.545069,0.375,1,0.3,0.2,0.575,0.75,0.45,0.375
0.5,3,19,4,0.525,0.2,0.55,0.4,0.525,0.221111,0.571375,0.4,0.525,0.221111,0.571375,0.4,0.525,0.210208,0.562073,0.4,1,0.3,0.2,0.65,0.875,0.525,0.4
0.5,4,0,4,0.425,0.133333,0.55,0.275,0.425,0.133333,0.55,0.275,0.425,0.133333,0.55,0.275,0.425,0.133333,0.55,0.275,1,0.2,0.133333,0.775,0.708333,0.425,0.275
0.75,4,1,4,0.6,0.408333,0.55,0.575,0.611667,0.419028,0.545542,0.575,0.611667,0.419028,0.545542,0.575,0.608417,0.415713,0.545786,0.575,1,0.6125,0.408333,0.5,1,0.6,0.575
0.75,4,2,4,0.75,0.483333,0.55,0.625,0.75,0.535069,0.568536,0.625,0.75,0.535069,0.568536,0.625,0.75,0.516925,0.553837,0.625,1,0.725,0.483333,0.425,1.25,0.75,0.625
0.75,4,3,4,0.65,0.383333,0.55,0.525,0.666667,0.405278,0.52175,0.525,0.666667,0.405278,0.52175,0.525,0.658333,0.392222,0.540056,0.525,1,0.575,0.383333,0.5,1.08333,0.65,0.525
0.75,4,4,4,0.575,0.291667,0.55,0.55,0.592917,0.336667,0.582208,0.55,0.592917,0.336667,0.582208,0.55,0.575042,0.315736,0.571782,0.55,1,0.4375,0.291667,0.5,0.958333,0.575,0.55
0.5,4,5,4,0.35,0.0666667,0.55,0.225,0.35,0.0736111,0.545417,0.225,0.35,0.0736111,0.545417,0.225,0.35,0.06875,0.550625,0.225,1,0.1,0.0666667,0.825,0.583333,0.35,0.225
