item_id,n_W1,n_W2,cmean_l2,mmd2,po_tau2_mean,r_cmean_l2,r_mmd2,r_po_tau2_mean,rank_score,rank,selected
4704858,14,103,32.347294218693584,1.2455672766455548,5.425204073481765e-09,17.0,138.0,124.0,93.0,35,1
4260006,3,23,12.024876178473702,1.4043586492001294,5.949691467615383e-08,116.0,78.0,86.0,93.33333333333333,36,1
1415412,13,72,21.555017803721572,1.3107658578985688,1.1547092060368196e-08,51.0,114.0,118.0,94.33333333333333,37,1
2996490,10,70,25.213751287047813,1.3380230928896908,8.814516611346435e-10,34.0,100.0,150.0,94.66666666666667,38,1
3498634,8,94,30.18007449720826,1.2274685609215568,6.293384825103636e-09,20.0,142.0,122.0,94.66666666666667,39,1
679382,4,45,16.119484387747608,1.431287646625057,1.3072814575021234e-09,81.0,64.0,140.0,95.0,40,1
102919,3,29,12.353258576544855,1.414390257802131,3.306720692265804e-08,112.0,73.0,105.0,96.66666666666667,41,1
4227048,4,16,8.868841993290351,1.5566711829473667,1.5210406477047262e-07,226.0,18.0,50.0,98.0,42,1
4210600,9,22,11.755341081376942,1.4466777428525555,2.0755017689890513e-08,130.0,56.0,110.0,98.66666666666667,43,1
4041880,3,23,9.174645576752093,1.4769488321510296,1.570893952352131e-07,213.0,45.0,39.5,99.16666666666667,44,1
1575754,6,33,12.59475100139907,1.1312947375896965,5.184081100497263e-07,106.0,180.0,12.0,99.33333333333333,45,1
2403364,11,41,13.996434386379466,1.3898685659926446,5.800289768875578e-09,96.0,81.0,123.0,100.0,46,1
3848343,10,31,11.806446084759406,1.55000479301243,5.554801523696769e-10,129.0,22.0,157.0,102.66666666666667,47,1
4696790,4,11,9.248373305804657,1.4596265548106775,1.4848929263657184e-07,206.0,49.0,53.0,102.66666666666667,48,1
2810899,15,197,66.7926798602006,1.209203848923851,6.938985279354032e-10,3.0,151.0,154.0,102.66666666666667,49,1
1,5,111,39.05684312352284,1.22780908399874,6.361786937791223e-10,13.0,141.0,155.0,103.0,50,1
926241,4,26,10.272826030542772,1.3658299909844465,1.5210406477047262e-07,169.0,90.0,50.0,103.0,51,1
1094771,10,49,15.646755822558994,1.3391815668760942,3.7878364413909545e-09,84.0,99.0,127.0,103.33333333333333,52,1
399581,3,38,14.301692593515456,1.1303861978968177,1.570893952352131e-07,92.0,181.0,39.5,104.16666666666667,53,1
1020837,11,143,46.28859780823377,1.1041616083672106,1.5134115400874276e-08,7.0,192.0,116.0,105.0,54,1
205766,4,223,73.40256335621318,1.1346756848649189,1.5841419054254277e-09,2.0,177.0,138.0,105.66666666666667,55,1
345829,9,46,14.870463844789477,1.3232867639492711,4.36623527411994e-09,88.0,109.0,126.0,107.66666666666667,56,1
527186,3,7,9.080550932702987,1.4225310182679942,1.570893952352131e-07,216.0,69.0,39.5,108.16666666666667,57,1
1876197,5,30,11.552342827448532,1.464913888027647,1.1373135435189414e-09,134.0,48.0,143.0,108.33333333333333,58,1
4194222,13,4,10.508597749435863,1.5648893167919753,7.417493997872024e-10,162.0,14.0,152.0,109.33333333333333,59,1
2284130,3,84,31.81395812359961,1.5059520567666382,0.0,18.0,34.0,281.5,111.16666666666667,60,1
4305270,8,3,10.916531425998745,1.15685779616394,3.295154502069202e-07,146.0,167.0,23.0,112.0,61,1
1370159,4,33,12.205735809037373,1.1017539030479846,1.570893952352131e-07,114.0,194.0,39.5,115.83333333333333,62,1
2633945,4,92,31.3956029528705,1.1179122698249557,9.993411742600666e-10,19.0,187.0,146.0,117.33333333333333,63,1
2304650,11,124,37.42164104934841,1.0931598428927272,1.2170398619534594e-09,15.0,198.0,141.0,118.0,64,1
4548301,3,75,29.651882919372692,0.9230165725190662,1.3472189967990653e-07,23.0,272.0,59.5,118.16666666666667,65,1
283912,8,19,8.883737059087437,1.5114809775502378,3.87831573658283e-08,223.0,32.0,100.0,118.33333333333333,66,1
868563,3,132,43.38947844846615,1.4303197866494153,0.0,9.0,65.0,281.5,118.5,67,1
4680235,5,23,9.839805023815252,1.3665521477266898,5.94641966727678e-08,181.0,89.0,87.0,119.0,68,1
3013074,4,66,24.180527802796774,1.500800951429948,0.0,40.0,36.0,281.5,119.16666666666667,69,1
1218132,5,37,14.053852244699463,1.029133178673813,1.617288763585996e-07,94.0,231.0,33.0,119.33333333333333,70,1
498321,10,50,17.431046444153925,1.5967249110703428,0.0,71.0,6.0,281.5,119.5,71,1
2885065,6,24,9.74191032268908,1.3670642797761738,5.989318318003874e-08,186.0,88.0,85.0,119.66666666666667,72,1
2625741,10,33,9.734221862909576,1.4108520764491457,3.808885510818444e-08,187.0,74.0,101.0,120.66666666666667,73,1
1538694,8,51,18.921593047169992,1.1706365330595583,1.69639094543421e-09,63.0,165.0,136.0,121.33333333333333,74,1
2041119,3,13,7.898610298480143,1.4797951576770136,1.570893952352131e-07,284.0,42.0,39.5,121.83333333333333,75,1
1349590,3,55,19.52056201076233,1.1378119199314065,9.993411742600666e-10,60.0,175.0,146.0,127.0,76,1
2210112,21,9,10.117857565542959,1.3628494246814704,9.065351872941504e-09,171.0,91.0,120.0,127.33333333333333,77,1
815094,15,20,20.93604976230835,0.8426162805214992,6.414833357250296e-07,55.0,318.0,10.0,127.66666666666667,78,1
490022,16,86,27.32325510004756,1.4147282375107488,0.0,30.0,72.0,281.5,127.83333333333333,79,1
1867951,3,50,17.742409583175014,1.4883807269213531,0.0,69.0,39.0,281.5,129.83333333333334,80,1
2708068,10,29,12.460006972742649,1.6154661389832499,0.0,110.0,4.0,281.5,131.83333333333334,81,1
2432156,4,56,20.0370366105831,1.037533252386023,1.560861894202027e-08,58.0,226.0,114.0,132.66666666666666,82,1
1608867,8,30,12.586614447282251,1.5702483583433668,0.0,108.0,11.0,281.5,133.5,83,1
4663704,3,46,17.83034019261568,1.448861676597152,0.0,67.0,53.0,281.5,133.83333333333334,84,1
3161059,4,19,8.661444689097621,1.2952509126807126,1.570893952352131e-07,246.0,120.0,39.5,135.16666666666666,85,1
2996531,5,86,32.773461909483295,1.0131830332037688,4.6384469237887293e-10,16.0,234.0,159.0,136.33333333333334,86,1
259284,6,29,12.00821564015365,1.5707890807479838,0.0,118.0,10.0,281.5,136.5,87,1
2131901,3,31,14.667206445380671,1.486725372830263,0.0,90.0,40.0,281.5,137.16666666666666,88,1
4156,4,36,13.200516998516642,1.5219546701082707,0.0,101.0,30.0,281.5,137.5,89,1
1242724,5,39,15.11236655863088,1.477772471766343,0.0,87.0,44.0,281.5,137.5,90,1
2926410,5,9,12.95465789834884,1.5189378941321152,0.0,103.0,31.0,281.5,138.5,91,1
3087177,5,48,21.517215184723515,1.0647096329141648,8.744764663222273e-10,53.0,212.0,151.0,138.66666666666666,92,1
782167,4,405,134.67283157489854,0.9225356655301284,1.155746363665173e-09,1.0,273.0,142.0,138.66666666666666,93,1
1863797,5,33,11.960209627058614,1.5633289393630907,0.0,120.0,15.0,281.5,138.83333333333334,94,1
1415638,4,3,11.829307040367699,0.9093029760854798,7.214401133490502e-07,126.0,283.0,9.0,139.33333333333334,95,1
4404024,4,24,10.790825782944374,1.3074327321903556,9.088546331539778e-10,154.0,117.0,149.0,140.0,96,1
2942932,7,3,9.849161101295817,1.1335841637124906,1.0430512580798986e-07,180.0,178.0,65.0,141.0,97,1
469386,8,13,8.515347190333422,1.2209558984814488,2.5466853755263953e-07,251.0,146.0,27.0,141.33333333333334,98,1
3383174,3,29,14.064826267268828,1.459618401981739,0.0,93.0,50.0,281.5,141.5,99,1
872698,5,50,17.808705437743964,1.407658105042621,0.0,68.0,75.0,281.5,141.5,100,1
4486643,3,29,11.517419907479281,1.5758611791866197,0.0,135.0,8.0,281.5,141.5,101,1
588851,3,47,18.173202671491225,1.3974159876040249,0.0,65.0,79.0,281.5,141.83333333333334,102,1
3630202,3,16,9.607277880384745,1.3409107214976619,1.8321315654739902e-09,194.0,98.0,135.0,142.33333333333334,103,1
2843782,3,23,10.37571818769079,1.2670157454096453,2.420866883103418e-09,167.0,130.0,131.0,142.66666666666666,104,1
4630713,5,52,17.256365093196774,0.9375480382982029,4.352430534014027e-08,72.0,264.0,96.0,144.0,105,1
107021,5,26,11.29014093618836,1.5676488179828647,0.0,140.0,12.0,281.5,144.5,106,1
4527711,3,6,10.214921792155211,0.9755914213057251,4.690100756273812e-07,170.0,251.0,14.0,145.0,107,1
4231166,6,56,22.592874531055056,1.3286059086798025,0.0,47.0,107.0,281.5,145.16666666666666,108,1
967444,7,30,9.617436810119425,1.340999633323955,9.993411742600666e-10,193.0,97.0,146.0,145.33333333333334,109,1
1320845,6,25,8.823395868957013,1.1919791470334047,1.438499778689852e-07,227.0,156.0,56.0,146.33333333333334,110,1
1024910,4,6,9.314962223531177,1.041729303854344,4.5230713790010363e-07,204.0,222.0,15.0,147.0,111,1
518981,3,28,10.894837260736058,1.5669721299605495,0.0,147.0,13.0,281.5,147.16666666666666,112,1
506603,3,14,23.535004601886246,0.9129250185201352,1.4506938373131254e-08,44.0,281.0,117.0,147.33333333333334,113,1
1353684,3,32,13.043272422841856,1.4249219818072307,0.0,102.0,68.0,281.5,150.5,114,1
74083,6,28,12.02435286004759,1.4480495267122349,0.0,117.0,54.0,281.5,150.83333333333334,115,1
3926596,3,10,10.791407208104234,1.5564093782790822,0.0,153.0,19.0,281.5,151.16666666666666,116,1
4235248,5,127,45.486179627708815,1.1713086337360734,0.0,8.0,164.0,281.5,151.16666666666666,117,1
2020557,3,76,30.06302690401476,0.8619709671416564,3.3321298985810086e-09,21.0,308.0,128.0,152.33333333333334,118,1
3914247,4,23,10.893404467066677,1.52420337518063,0.0,148.0,28.0,281.5,152.5,119,1
1440054,13,37,10.876382922256212,1.5354254285901838,0.0,150.0,26.0,281.5,152.5,120,1
2876755,3,60,23.79739519677614,1.2524466217343324,0.0,42.0,136.0,281.5,153.16666666666666,121,1
1477215,3,31,27.337240457457774,0.3561822869134268,1.570893952352131e-07,29.0,398.0,39.5,155.5,122,1
4136531,6,21,9.088700237688046,1.1120969372444502,9.660624707594297e-08,215.0,188.0,68.0,157.0,123,1
2967683,3,17,10.094861055414635,1.0103516902712826,1.2345584745047922e-07,174.0,235.0,63.0,157.33333333333334,124,1
465266,8,159,51.44083286225074,0.8578499663227717,5.639585269859104e-10,5.0,312.0,156.0,157.66666666666666,125,1
