merchant_id,score,n_leaf,rank,dissolve_how,score_col,selected
1357851,0.00011882948867574615,15,51,sum,tau2,0
2942932,0.0001187556915966722,9,52,sum,tau2,0
399586,0.00011776693286203633,2,53,sum,tau2,0
4519531,0.0001163340406001101,9,54,sum,tau2,0
741089,0.00011070546853453843,76,55,sum,tau2,0
1843266,0.00010979265428650778,88,56,sum,tau2,0
1608867,0.00010605850780024979,98,57,sum,tau2,0
992150,0.00010265784036354578,44,58,sum,tau2,0
4647166,9.983850948869197e-05,58,59,sum,tau2,0
1008536,9.976487040307709e-05,91,60,sum,tau2,0
3782465,9.856719828866911e-05,29,61,sum,tau2,0
815094,9.737255310794743e-05,65,62,sum,tau2,0
4255891,9.345032985622044e-05,37,63,sum,tau2,0
255173,9.288729138770256e-05,4,64,sum,tau2,0
2572239,9.099822253873441e-05,2,65,sum,tau2,0
1534,8.9793106702405e-05,47,66,sum,tau2,0
54680,8.970161871921649e-05,5,67,sum,tau2,0
1390739,8.917015066574036e-05,2,68,sum,tau2,0
111282,8.594697136698078e-05,11,69,sum,tau2,0
1863797,8.263610357571136e-05,116,70,sum,tau2,0
59672,8.055304804286865e-05,49,71,sum,tau2,0
53533,7.998293726883165e-05,6,72,sum,tau2,0
3144740,7.997438242589669e-05,39,73,sum,tau2,0
4165389,7.771412497661424e-05,1,74,sum,tau2,0
8780,7.629934718064747e-05,47,75,sum,tau2,0
2880912,7.574161693461883e-05,1,76,sum,tau2,0
4083005,7.511945303028008e-05,58,77,sum,tau2,0
12629,7.50908599359694e-05,46,78,sum,tau2,0
880988,7.307582277390089e-05,9,79,sum,tau2,0
3383174,7.298057744832926e-05,103,80,sum,tau2,0
2210138,6.916933467917004e-05,41,81,sum,tau2,0
1053625,6.84008465035378e-05,74,82,sum,tau2,0
2708068,6.768550509666409e-05,91,83,sum,tau2,0
354058,6.716125158937474e-05,39,84,sum,tau2,0
4680184,6.654443991241369e-05,85,85,sum,tau2,0
9335,6.471491435849826e-05,1,86,sum,tau2,0
1530555,6.42119413420026e-05,5,87,sum,tau2,0
4190246,6.411725102875868e-05,4,88,sum,tau2,0
967444,6.118802661151822e-05,96,89,sum,tau2,0
502505,6.061494432740326e-05,3,90,sum,tau2,0
3757633,5.902671220356828e-05,122,91,sum,tau2,0
761837,5.8623759925997635e-05,5,92,sum,tau2,0
152353,5.700949962744206e-05,2,93,sum,tau2,0
2152541,5.484479703340281e-05,8,94,sum,tau2,0
4124326,5.4262591665203576e-05,1,95,sum,tau2,0
51874,5.4114915112828096e-05,6,96,sum,tau2,0
1341428,5.3596009246152245e-05,8,97,sum,tau2,0
2341636,5.331581949591775e-05,7,98,sum,tau2,0
1440054,5.311167831650742e-05,122,99,sum,tau2,0
3222899,5.286465966241282e-05,1,100,sum,tau2,0
761815,4.9124729082820496e-05,14,101,sum,tau2,0
1900909,4.771345052072249e-05,8,102,sum,tau2,0
1386641,3.538418269269823e-05,2,103,sum,tau2,0
370858,3.51270583210878e-05,12,104,sum,tau2,0
1921557,3.375356713702895e-05,3,105,sum,tau2,0
4527711,3.2735308879625e-05,11,106,sum,tau2,0
1971102,3.2524439282958576e-05,6,107,sum,tau2,0
4235374,3.20461646875917e-05,5,108,sum,tau2,0
4704861,3.187664240140489e-05,81,109,sum,tau2,0
4140599,3.063582810668279e-05,66,110,sum,tau2,0
741522,3.0394620072729342e-05,2,111,sum,tau2,0
2543388,2.8381761111994825e-05,75,112,sum,tau2,0
79851,2.6032822958491993e-05,150,113,sum,tau2,0
28878,2.5617302484112172e-05,1,114,sum,tau2,0
3848343,2.4283575424535357e-05,109,115,sum,tau2,0
3259812,2.3297197481883925e-05,13,116,sum,tau2,0
3284369,2.1403496771811555e-05,2,117,sum,tau2,0
3885368,2.1070397098642542e-05,180,118,sum,tau2,0
226288,1.938105631106211e-05,557,119,sum,tau2,0
57593,1.9027728098741247e-05,17,120,sum,tau2,0
4433579,1.6774659130757257e-05,1,121,sum,tau2,0
527185,1.6675638021171504e-05,1,122,sum,tau2,0
1489516,1.6636073190207643e-05,1,123,sum,tau2,0
3132371,1.6527102010428722e-05,1,124,sum,tau2,0
490022,1.2737264094287324e-05,322,125,sum,tau2,0
2535188,1.23065230963008e-05,270,126,sum,tau2,0
2304650,1.0550107661906865e-05,387,127,sum,tau2,0
4704858,1.031732680679399e-05,350,128,sum,tau2,0
2506320,9.362570781866737e-06,292,129,sum,tau2,0
3498634,9.077075964704733e-06,321,130,sum,tau2,0
54415,8.842733602953063e-06,383,131,sum,tau2,0
1538694,8.517343671512594e-06,214,132,sum,tau2,0
2259399,8.347567644775536e-06,147,133,sum,tau2,0
2189611,7.862187315051792e-06,117,134,sum,tau2,0
574,7.1314621462359105e-06,478,135,sum,tau2,0
2996531,6.670882399681822e-06,303,136,sum,tau2,0
1435913,6.305736851253218e-06,134,137,sum,tau2,0
3087177,6.263669664992069e-06,169,138,sum,tau2,0
119308,6.008070986144007e-06,502,139,sum,tau2,0
