user_id,score,n_leaf,rank,dissolve_how,score_col,selected
684933,4.5488766199815e-07,1,1965,sum,tau2,0
130648,4.548413116116613e-07,1,1966,sum,tau2,0
44470,4.517951752232448e-07,1,1967,sum,tau2,0
932277,4.517501855461954e-07,2,1968,sum,tau2,0
879513,4.510111790638142e-07,1,1969,sum,tau2,0
79241,4.499015561415253e-07,1,1970,sum,tau2,0
430292,4.493652664958015e-07,1,1971,sum,tau2,0
369096,4.489253078130138e-07,1,1972,sum,tau2,0
547438,4.485997762739261e-07,1,1973,sum,tau2,0
979774,4.4829106588469224e-07,1,1974,sum,tau2,0
952179,4.477507128131351e-07,1,1975,sum,tau2,0
338641,4.473795277082075e-07,1,1976,sum,tau2,0
184964,4.4687857198978494e-07,1,1977,sum,tau2,0
184100,4.4684711848723896e-07,2,1978,sum,tau2,0
678957,4.458668728588773e-07,1,1979,sum,tau2,0
164159,4.458446317235575e-07,2,1980,sum,tau2,0
193202,4.4569291028195846e-07,3,1981,sum,tau2,0
818366,4.4530716581995277e-07,1,1982,sum,tau2,0
272215,4.4491569206341067e-07,1,1983,sum,tau2,0
558800,4.443558654027449e-07,1,1984,sum,tau2,0
939368,4.443558654027449e-07,1,1985,sum,tau2,0
944046,4.4372392511913757e-07,1,1986,sum,tau2,0
540646,4.435373122268716e-07,1,1987,sum,tau2,0
996349,4.435373122268716e-07,1,1988,sum,tau2,0
921344,4.426785740513354e-07,1,1989,sum,tau2,0
656879,4.4257274899204037e-07,2,1990,sum,tau2,0
873178,4.410294423776521e-07,1,1991,sum,tau2,0
227977,4.406166001181266e-07,1,1992,sum,tau2,0
870201,4.390249195583504e-07,1,1993,sum,tau2,0
854418,4.389328077047193e-07,3,1994,sum,tau2,0
304305,4.380094854529825e-07,1,1995,sum,tau2,0
860621,4.3763009710993923e-07,2,1996,sum,tau2,0
878973,4.363025674719465e-07,1,1997,sum,tau2,0
15848,4.3497475807601595e-07,1,1998,sum,tau2,0
657267,4.3449073820868827e-07,2,1999,sum,tau2,0
622713,4.342456195665276e-07,2,2000,sum,tau2,0
919653,4.340475441145308e-07,1,2001,sum,tau2,0
783538,4.340067292490167e-07,1,2002,sum,tau2,0
23122,4.331345325511957e-07,1,2003,sum,tau2,0
566246,4.330019718878757e-07,1,2004,sum,tau2,0
161724,4.317828895483661e-07,1,2005,sum,tau2,0
883473,4.317828895483661e-07,1,2006,sum,tau2,0
245498,4.317828895483661e-07,1,2007,sum,tau2,0
603427,4.2857975585971647e-07,3,2008,sum,tau2,0
906875,4.282727098825872e-07,1,2009,sum,tau2,0
222684,4.267336378310185e-07,1,2010,sum,tau2,0
365176,4.2606221178875927e-07,2,2011,sum,tau2,0
64221,4.258552462376558e-07,4,2012,sum,tau2,0
834626,4.2579922416215954e-07,4,2013,sum,tau2,0
22215,4.254016494874125e-07,1,2014,sum,tau2,0
64426,4.2520567959724487e-07,1,2015,sum,tau2,0
343104,4.2519237880275187e-07,1,2016,sum,tau2,0
319900,4.236510343141926e-07,2,2017,sum,tau2,0
339652,4.227539286642714e-07,1,2018,sum,tau2,0
673837,4.224352411169019e-07,2,2019,sum,tau2,0
297049,4.2206711225971256e-07,1,2020,sum,tau2,0
970774,4.2206711225971256e-07,1,2021,sum,tau2,0
990764,4.21643291559642e-07,1,2022,sum,tau2,0
633806,4.2089217317371465e-07,2,2023,sum,tau2,0
551303,4.20100642978955e-07,1,2024,sum,tau2,0
907829,4.198836191410421e-07,1,2025,sum,tau2,0
712170,4.1976954401460713e-07,2,2026,sum,tau2,0
842027,4.1962141082029273e-07,1,2027,sum,tau2,0
134130,4.188448615570514e-07,2,2028,sum,tau2,0
773754,4.1854553143871684e-07,1,2029,sum,tau2,0
769125,4.180729261180623e-07,1,2030,sum,tau2,0
217646,4.178906236256128e-07,1,2031,sum,tau2,0
954739,4.176290842179561e-07,1,2032,sum,tau2,0
738074,4.1734866692563585e-07,2,2033,sum,tau2,0
127698,4.172335849486901e-07,2,2034,sum,tau2,0
502726,4.170070484515985e-07,1,2035,sum,tau2,0
329157,4.1681700567319043e-07,2,2036,sum,tau2,0
119819,4.1663283144450065e-07,2,2037,sum,tau2,0
148599,4.159720807881268e-07,1,2038,sum,tau2,0
403951,4.1580834540707365e-07,1,2039,sum,tau2,0
615725,4.156590274974704e-07,1,2040,sum,tau2,0
210836,4.1514406512368806e-07,1,2041,sum,tau2,0
379128,4.1514406512368806e-07,1,2042,sum,tau2,0
265072,4.1445410910823216e-07,2,2043,sum,tau2,0
838313,4.141971338388017e-07,1,2044,sum,tau2,0
299146,4.1391457106329553e-07,1,2045,sum,tau2,0
289560,4.1345982859897883e-07,1,2046,sum,tau2,0
410697,4.129023639005272e-07,2,2047,sum,tau2,0
330232,4.120105250271399e-07,1,2048,sum,tau2,0
472285,4.117472219769379e-07,2,2049,sum,tau2,0
75841,4.1171959254199403e-07,1,2050,sum,tau2,0
453919,4.115059376124567e-07,1,2051,sum,tau2,0
311731,4.1119309567355395e-07,2,2052,sum,tau2,0
228253,4.111836823578852e-07,1,2053,sum,tau2,0
573073,4.110165754744009e-07,3,2054,sum,tau2,0
55657,4.107356288593813e-07,1,2055,sum,tau2,0
289686,4.106283576334625e-07,1,2056,sum,tau2,0
1000345,4.101851286493424e-07,3,2057,sum,tau2,0
917288,4.100397879492089e-07,1,2058,sum,tau2,0
479255,4.100397879492089e-07,1,2059,sum,tau2,0
777513,4.0997519399073384e-07,3,2060,sum,tau2,0
168962,4.0984664117901255e-07,1,2061,sum,tau2,0
995186,4.0949468258362506e-07,3,2062,sum,tau2,0
466269,4.0851218809984003e-07,2,2063,sum,tau2,0
223605,4.0744030358836093e-07,4,2064,sum,tau2,0
634673,4.072962879558125e-07,1,2065,sum,tau2,0
900860,4.0694611353850883e-07,1,2066,sum,tau2,0
192230,4.0683924755033766e-07,1,2067,sum,tau2,0
660756,4.059435560422962e-07,3,2068,sum,tau2,0
544856,4.056911675389772e-07,1,2069,sum,tau2,0
509997,4.056831936505602e-07,2,2070,sum,tau2,0
875338,4.055450006965019e-07,2,2071,sum,tau2,0
120729,4.0531317020673145e-07,1,2072,sum,tau2,0
202410,4.0531317020673145e-07,1,2073,sum,tau2,0
353566,4.0526760915058915e-07,3,2074,sum,tau2,0
