user_id,score,n_leaf,rank,dissolve_how,score_col,selected
781903,31.204706004438037,2,3162,sum,shift_l2,0
765981,31.202577467572134,1,3163,sum,shift_l2,0
833504,31.202235920099415,1,3164,sum,shift_l2,0
238433,31.199576887580406,1,3165,sum,shift_l2,0
962342,31.196301786218566,1,3166,sum,shift_l2,0
947381,31.19262627863013,1,3167,sum,shift_l2,0
961713,31.19217750684694,1,3168,sum,shift_l2,0
700040,31.189323949475735,1,3169,sum,shift_l2,0
634313,31.186840852980243,1,3170,sum,shift_l2,0
942588,31.182850145787373,1,3171,sum,shift_l2,0
212527,31.178326263300594,1,3172,sum,shift_l2,0
759258,31.17417994620051,2,3173,sum,shift_l2,0
964681,31.172900664967813,1,3174,sum,shift_l2,0
845818,31.160440228216995,1,3175,sum,shift_l2,0
766073,31.159579066278646,1,3176,sum,shift_l2,0
921346,31.15924429713186,1,3177,sum,shift_l2,0
315928,31.157342745225154,1,3178,sum,shift_l2,0
174801,31.156797283179635,1,3179,sum,shift_l2,0
265285,31.152514280104477,2,3180,sum,shift_l2,0
384483,31.151249799671543,1,3181,sum,shift_l2,0
785718,31.150216164049294,1,3182,sum,shift_l2,0
455976,31.146024998757184,1,3183,sum,shift_l2,0
184983,31.127356993856154,1,3184,sum,shift_l2,0
961488,31.125193216187867,2,3185,sum,shift_l2,0
990336,31.110380532061424,1,3186,sum,shift_l2,0
471124,31.10774853826448,1,3187,sum,shift_l2,0
567567,31.103103269405565,1,3188,sum,shift_l2,0
460287,31.091556220575075,1,3189,sum,shift_l2,0
42140,31.0887508547287,1,3190,sum,shift_l2,0
103735,31.087515476294733,1,3191,sum,shift_l2,0
680811,31.086870742799604,1,3192,sum,shift_l2,0
758136,31.08612781202296,1,3193,sum,shift_l2,0
435089,31.085480693002566,1,3194,sum,shift_l2,0
403079,31.083707092901587,1,3195,sum,shift_l2,0
247821,31.083490831244752,1,3196,sum,shift_l2,0
146633,31.07811740606684,1,3197,sum,shift_l2,0
247367,31.077980020711067,1,3198,sum,shift_l2,0
156210,31.07380267123141,1,3199,sum,shift_l2,0
284553,31.072210239536112,1,3200,sum,shift_l2,0
136157,31.060766043572166,2,3201,sum,shift_l2,0
260492,31.057805798436394,1,3202,sum,shift_l2,0
655504,31.05353276970605,1,3203,sum,shift_l2,0
666867,31.05304948105236,1,3204,sum,shift_l2,0
490837,31.049238221112308,1,3205,sum,shift_l2,0
513829,31.04751894861614,1,3206,sum,shift_l2,0
507928,31.012294447968717,1,3207,sum,shift_l2,0
752853,31.011062078210564,2,3208,sum,shift_l2,0
821739,31.009125213048573,1,3209,sum,shift_l2,0
423102,31.009052863988174,1,3210,sum,shift_l2,0
264085,31.001972547761202,2,3211,sum,shift_l2,0
868516,30.993373779111177,1,3212,sum,shift_l2,0
711024,30.99293874227579,1,3213,sum,shift_l2,0
616081,30.98988463612836,1,3214,sum,shift_l2,0
285005,30.982839299743496,1,3215,sum,shift_l2,0
462356,30.981997760367992,1,3216,sum,shift_l2,0
148599,30.97672502953987,1,3217,sum,shift_l2,0
952703,30.97643695503205,1,3218,sum,shift_l2,0
846159,30.97454462569678,1,3219,sum,shift_l2,0
755162,30.972674320044696,1,3220,sum,shift_l2,0
873178,30.970437997443742,1,3221,sum,shift_l2,0
509265,30.970342875546713,2,3222,sum,shift_l2,0
226903,30.96624784648257,1,3223,sum,shift_l2,0
963160,30.963050275964505,1,3224,sum,shift_l2,0
717976,30.961042180941547,1,3225,sum,shift_l2,0
38859,30.95059650419533,1,3226,sum,shift_l2,0
18901,30.94683574971614,1,3227,sum,shift_l2,0
494320,30.941711386832992,1,3228,sum,shift_l2,0
91933,30.94059636547943,2,3229,sum,shift_l2,0
141901,30.937574083869542,1,3230,sum,shift_l2,0
194188,30.930045301896172,1,3231,sum,shift_l2,0
668285,30.928404717405453,1,3232,sum,shift_l2,0
774406,30.92026763096738,1,3233,sum,shift_l2,0
778119,30.91586589169915,1,3234,sum,shift_l2,0
260789,30.903707184323157,1,3235,sum,shift_l2,0
321752,30.901117004885414,1,3236,sum,shift_l2,0
234304,30.882260180452857,1,3237,sum,shift_l2,0
755178,30.88078170957434,1,3238,sum,shift_l2,0
203558,30.869622351467793,1,3239,sum,shift_l2,0
171839,30.867204572250323,1,3240,sum,shift_l2,0
775260,30.86544454393578,1,3241,sum,shift_l2,0
927483,30.86527773425718,1,3242,sum,shift_l2,0
491833,30.864639430178745,1,3243,sum,shift_l2,0
102728,30.864489119772923,2,3244,sum,shift_l2,0
51353,30.86256805948642,1,3245,sum,shift_l2,0
752553,30.848945788022636,1,3246,sum,shift_l2,0
160706,30.845030256235493,1,3247,sum,shift_l2,0
16781,30.844832848893972,1,3248,sum,shift_l2,0
636912,30.844654960111015,2,3249,sum,shift_l2,0
64261,30.84158452933598,1,3250,sum,shift_l2,0
183910,30.83515189568993,1,3251,sum,shift_l2,0
831853,30.832631590623432,1,3252,sum,shift_l2,0
355797,30.829792915310982,1,3253,sum,shift_l2,0
582474,30.829745660068838,1,3254,sum,shift_l2,0
925268,30.8285360191913,1,3255,sum,shift_l2,0
220988,30.825197099599716,1,3256,sum,shift_l2,0
79324,30.824553867437473,2,3257,sum,shift_l2,0
805736,30.82164529093717,1,3258,sum,shift_l2,0
565244,30.82044726110311,1,3259,sum,shift_l2,0
